Episode,Score,Epsilon
1,19,0.9092
2,19,0.8266
3,19,0.7515
4,11,0.7112
5,10,0.6764
6,15,0.6274
7,11,0.5937
8,22,0.5318
9,16,0.4908
10,18,0.4484
11,15,0.4159
12,9,0.3976
13,10,0.3782
14,10,0.3597
15,10,0.3421
16,8,0.3286
17,11,0.3110
18,9,0.2973
19,9,0.2842
20,10,0.2703
21,11,0.2558
22,10,0.2433
23,8,0.2337
24,10,0.2223
25,9,0.2125
26,8,0.2041
27,8,0.1961
28,10,0.1865
29,9,0.1783
30,9,0.1704
31,10,0.1621
32,10,0.1542
33,15,0.1430
34,10,0.1360
35,11,0.1287
36,10,0.1224
37,8,0.1176
38,10,0.1119
39,8,0.1075
40,10,0.1022
41,9,0.0977
42,10,0.0929
43,8,0.0893
44,14,0.0832
45,10,0.0792
46,9,0.0757
47,11,0.0716
48,9,0.0684
49,9,0.0654
50,10,0.0622
51,9,0.0595
52,9,0.0569
53,9,0.0544
54,10,0.0517
55,9,0.0500
56,11,0.0500
57,10,0.0500
58,9,0.0500
59,8,0.0500
60,8,0.0500
61,16,0.0500
62,10,0.0500
63,9,0.0500
64,8,0.0500
65,9,0.0500
66,8,0.0500
67,9,0.0500
68,10,0.0500
69,13,0.0500
70,9,0.0500
71,10,0.0500
72,9,0.0500
73,11,0.0500
74,10,0.0500
75,12,0.0500
76,10,0.0500
77,9,0.0500
78,10,0.0500
79,12,0.0500
80,9,0.0500
81,11,0.0500
82,9,0.0500
83,10,0.0500
84,10,0.0500
85,11,0.0500
86,10,0.0500
87,9,0.0500
88,10,0.0500
89,10,0.0500
90,10,0.0500
91,10,0.0500
92,9,0.0500
93,9,0.0500
94,10,0.0500
95,9,0.0500
96,9,0.0500
97,10,0.0500
98,10,0.0500
99,12,0.0500
100,9,0.0500
101,10,0.0500
102,10,0.0500
103,9,0.0500
104,9,0.0500
105,8,0.0500
106,8,0.0500
107,10,0.0500
108,9,0.0500
109,10,0.0500
110,10,0.0500
111,9,0.0500
112,10,0.0500
113,9,0.0500
114,14,0.0500
115,10,0.0500
116,11,0.0500
117,10,0.0500
118,23,0.0500
119,10,0.0500
120,9,0.0500
121,10,0.0500
122,20,0.0500
123,23,0.0500
124,11,0.0500
125,26,0.0500
126,9,0.0500
127,9,0.0500
128,13,0.0500
129,12,0.0500
130,13,0.0500
131,9,0.0500
132,10,0.0500
133,13,0.0500
134,12,0.0500
135,12,0.0500
136,8,0.0500
137,17,0.0500
138,10,0.0500
139,9,0.0500
140,15,0.0500
141,8,0.0500
142,10,0.0500
143,11,0.0500
144,16,0.0500
145,11,0.0500
146,11,0.0500
147,11,0.0500
148,10,0.0500
149,9,0.0500
150,11,0.0500
151,17,0.0500
152,9,0.0500
153,28,0.0500
154,9,0.0500
155,10,0.0500
156,10,0.0500
157,11,0.0500
158,12,0.0500
159,10,0.0500
160,12,0.0500
161,15,0.0500
162,13,0.0500
163,12,0.0500
164,10,0.0500
165,11,0.0500
166,19,0.0500
167,11,0.0500
168,14,0.0500
169,12,0.0500
170,21,0.0500
171,14,0.0500
172,12,0.0500
173,10,0.0500
174,16,0.0500
175,9,0.0500
176,17,0.0500
177,11,0.0500
178,9,0.0500
179,14,0.0500
180,10,0.0500
181,11,0.0500
182,13,0.0500
183,12,0.0500
184,18,0.0500
185,11,0.0500
186,25,0.0500
187,11,0.0500
188,12,0.0500
189,12,0.0500
190,17,0.0500
191,10,0.0500
192,9,0.0500
193,12,0.0500
194,10,0.0500
195,12,0.0500
196,15,0.0500
197,14,0.0500
198,10,0.0500
199,11,0.0500
200,9,0.0500
201,12,0.0500
202,13,0.0500
203,10,0.0500
204,12,0.0500
205,15,0.0500
206,15,0.0500
207,16,0.0500
208,11,0.0500
209,11,0.0500
210,12,0.0500
211,11,0.0500
212,13,0.0500
213,25,0.0500
214,10,0.0500
215,17,0.0500
216,37,0.0500
217,95,0.0500
218,178,0.0500
219,58,0.0500
220,125,0.0500
221,114,0.0500
222,135,0.0500
223,75,0.0500
224,114,0.0500
225,129,0.0500
226,147,0.0500
227,93,0.0500
228,126,0.0500
229,118,0.0500
230,140,0.0500
231,126,0.0500
232,147,0.0500
233,116,0.0500
234,129,0.0500
235,121,0.0500
236,179,0.0500
237,136,0.0500
238,175,0.0500
239,136,0.0500
240,130,0.0500
241,135,0.0500
242,126,0.0500
243,176,0.0500
244,123,0.0500
245,122,0.0500
246,132,0.0500
247,148,0.0500
248,129,0.0500
249,173,0.0500
250,123,0.0500
251,132,0.0500
252,142,0.0500
253,123,0.0500
254,135,0.0500
255,151,0.0500
256,147,0.0500
257,167,0.0500
258,129,0.0500
259,52,0.0500
260,149,0.0500
261,137,0.0500
262,163,0.0500
263,131,0.0500
264,136,0.0500
265,130,0.0500
266,133,0.0500
267,139,0.0500
268,166,0.0500
269,120,0.0500
270,154,0.0500
271,53,0.0500
272,145,0.0500
273,125,0.0500
274,146,0.0500
275,146,0.0500
276,137,0.0500
277,135,0.0500
278,136,0.0500
279,119,0.0500
280,177,0.0500
281,135,0.0500
282,131,0.0500
283,120,0.0500
284,127,0.0500
285,69,0.0500
286,120,0.0500
287,118,0.0500
288,134,0.0500
289,134,0.0500
290,120,0.0500
291,114,0.0500
292,141,0.0500
293,115,0.0500
294,112,0.0500
295,113,0.0500
296,104,0.0500
297,102,0.0500
298,122,0.0500
299,113,0.0500
300,119,0.0500
301,112,0.0500
302,131,0.0500
303,118,0.0500
304,120,0.0500
305,127,0.0500
306,103,0.0500
307,128,0.0500
308,123,0.0500
309,116,0.0500
310,121,0.0500
311,125,0.0500
312,116,0.0500
313,129,0.0500
314,134,0.0500
315,140,0.0500
316,143,0.0500
317,155,0.0500
318,155,0.0500
319,70,0.0500
320,127,0.0500
321,122,0.0500
322,126,0.0500
323,143,0.0500
324,127,0.0500
325,144,0.0500
326,147,0.0500
327,144,0.0500
328,166,0.0500
329,142,0.0500
330,252,0.0500
331,148,0.0500
332,149,0.0500
333,205,0.0500
334,170,0.0500
335,161,0.0500
336,186,0.0500
337,150,0.0500
338,179,0.0500
339,140,0.0500
340,164,0.0500
341,122,0.0500
342,124,0.0500
343,125,0.0500
344,124,0.0500
345,152,0.0500
346,78,0.0500
347,150,0.0500
348,148,0.0500
349,138,0.0500
350,161,0.0500
351,140,0.0500
352,117,0.0500
353,142,0.0500
354,116,0.0500
355,117,0.0500
356,108,0.0500
357,117,0.0500
358,132,0.0500
359,111,0.0500
360,139,0.0500
361,145,0.0500
362,144,0.0500
363,147,0.0500
364,131,0.0500
365,143,0.0500
366,134,0.0500
367,151,0.0500
368,148,0.0500
369,176,0.0500
370,160,0.0500
371,162,0.0500
372,160,0.0500
373,250,0.0500
374,151,0.0500
375,222,0.0500
376,153,0.0500
377,147,0.0500
378,125,0.0500
379,154,0.0500
380,159,0.0500
381,187,0.0500
382,182,0.0500
383,245,0.0500
384,187,0.0500
385,272,0.0500
386,184,0.0500
387,190,0.0500
388,200,0.0500
389,31,0.0500
390,259,0.0500
391,254,0.0500
392,393,0.0500
393,212,0.0500
394,171,0.0500
395,168,0.0500
396,270,0.0500
397,188,0.0500
398,119,0.0500
399,117,0.0500
400,126,0.0500
401,126,0.0500
402,186,0.0500
403,172,0.0500
404,137,0.0500
405,101,0.0500
406,113,0.0500
407,130,0.0500
408,225,0.0500
409,250,0.0500
410,306,0.0500
411,292,0.0500
412,277,0.0500
413,131,0.0500
414,146,0.0500
415,202,0.0500
416,413,0.0500
417,235,0.0500
418,262,0.0500
419,367,0.0500
420,283,0.0500
421,301,0.0500
422,279,0.0500
423,197,0.0500
424,178,0.0500
425,173,0.0500
426,203,0.0500
427,149,0.0500
428,139,0.0500
429,144,0.0500
430,145,0.0500
431,171,0.0500
432,298,0.0500
433,265,0.0500
434,118,0.0500
435,202,0.0500
436,160,0.0500
437,177,0.0500
438,134,0.0500
439,220,0.0500
440,154,0.0500
441,134,0.0500
442,118,0.0500
443,167,0.0500
444,243,0.0500
445,231,0.0500
446,220,0.0500
447,195,0.0500
448,129,0.0500
449,187,0.0500
450,202,0.0500
451,178,0.0500
452,188,0.0500
453,161,0.0500
454,129,0.0500
455,148,0.0500
456,166,0.0500
457,156,0.0500
458,139,0.0500
459,144,0.0500
460,129,0.0500
461,147,0.0500
462,131,0.0500
463,160,0.0500
464,146,0.0500
465,153,0.0500
466,149,0.0500
467,136,0.0500
468,143,0.0500
469,144,0.0500
470,152,0.0500
471,151,0.0500
472,129,0.0500
473,174,0.0500
474,137,0.0500
475,164,0.0500
476,155,0.0500
477,125,0.0500
478,140,0.0500
479,146,0.0500
480,131,0.0500
481,140,0.0500
482,123,0.0500
483,149,0.0500
484,143,0.0500
485,141,0.0500
486,146,0.0500
487,160,0.0500
488,163,0.0500
489,154,0.0500
490,152,0.0500
491,146,0.0500
492,183,0.0500
493,134,0.0500
494,131,0.0500
495,117,0.0500
496,147,0.0500
497,130,0.0500
498,130,0.0500
499,145,0.0500
500,132,0.0500
501,118,0.0500
502,127,0.0500
503,122,0.0500
504,129,0.0500
505,132,0.0500
506,139,0.0500
507,135,0.0500
508,131,0.0500
509,161,0.0500
510,202,0.0500
511,169,0.0500
512,187,0.0500
513,153,0.0500
514,180,0.0500
515,166,0.0500
516,204,0.0500
517,237,0.0500
518,211,0.0500
519,233,0.0500
520,237,0.0500
521,221,0.0500
522,235,0.0500
523,275,0.0500
524,280,0.0500
525,379,0.0500
526,407,0.0500
527,298,0.0500
528,430,0.0500
529,381,0.0500
530,500,0.0500
531,500,0.0500
532,165,0.0500
533,500,0.0500
534,500,0.0500
535,426,0.0500
536,184,0.0500
537,500,0.0500
538,500,0.0500
539,500,0.0500
540,500,0.0500
541,500,0.0500
542,500,0.0500
543,500,0.0500
544,500,0.0500
545,500,0.0500
546,500,0.0500
547,500,0.0500
548,500,0.0500
549,500,0.0500
550,500,0.0500
551,500,0.0500
552,500,0.0500
553,500,0.0500
554,500,0.0500
555,500,0.0500
556,500,0.0500
557,500,0.0500
558,500,0.0500
559,500,0.0500
560,500,0.0500
561,500,0.0500
562,500,0.0500
563,500,0.0500
564,500,0.0500
565,500,0.0500
566,500,0.0500
567,500,0.0500
568,333,0.0500
569,335,0.0500
570,307,0.0500
571,287,0.0500
572,253,0.0500
573,500,0.0500
574,252,0.0500
575,213,0.0500
576,500,0.0500
577,500,0.0500
578,500,0.0500
579,500,0.0500
580,363,0.0500
581,500,0.0500
582,500,0.0500
583,22,0.0500
584,500,0.0500
585,500,0.0500
586,500,0.0500
587,12,0.0500
588,18,0.0500
589,500,0.0500
590,500,0.0500
591,500,0.0500
592,500,0.0500
593,500,0.0500
594,500,0.0500
595,500,0.0500
596,500,0.0500
597,500,0.0500
598,500,0.0500
599,500,0.0500
600,500,0.0500
