Episode,Score,Epsilon
1,20,0.0000
2,11,0.0000
3,9,0.0000
4,13,0.0000
5,12,0.0000
6,20,0.0000
7,22,0.0000
8,11,0.0000
9,28,0.0000
10,15,0.0000
11,29,0.0000
12,22,0.0000
13,34,0.0000
14,25,0.0000
15,27,0.0000
16,9,0.0000
17,15,0.0000
18,19,0.0000
19,16,0.0000
20,20,0.0000
21,9,0.0000
22,22,0.0000
23,39,0.0000
24,12,0.0000
25,62,0.0000
26,11,0.0000
27,17,0.0000
28,43,0.0000
29,37,0.0000
30,27,0.0000
31,21,0.0000
32,15,0.0000
33,47,0.0000
34,56,0.0000
35,13,0.0000
36,14,0.0000
37,40,0.0000
38,18,0.0000
39,30,0.0000
40,30,0.0000
41,11,0.0000
42,43,0.0000
43,21,0.0000
44,25,0.0000
45,27,0.0000
46,21,0.0000
47,23,0.0000
48,13,0.0000
49,66,0.0000
50,33,0.0000
51,17,0.0000
52,40,0.0000
53,46,0.0000
54,36,0.0000
55,21,0.0000
56,32,0.0000
57,37,0.0000
58,14,0.0000
59,34,0.0000
60,68,0.0000
61,17,0.0000
62,26,0.0000
63,15,0.0000
64,55,0.0000
65,19,0.0000
66,17,0.0000
67,23,0.0000
68,21,0.0000
69,53,0.0000
70,17,0.0000
71,33,0.0000
72,31,0.0000
73,17,0.0000
74,29,0.0000
75,16,0.0000
76,22,0.0000
77,66,0.0000
78,51,0.0000
79,39,0.0000
80,40,0.0000
81,36,0.0000
82,32,0.0000
83,73,0.0000
84,16,0.0000
85,44,0.0000
86,53,0.0000
87,19,0.0000
88,60,0.0000
89,34,0.0000
90,29,0.0000
91,36,0.0000
92,41,0.0000
93,53,0.0000
94,49,0.0000
95,53,0.0000
96,33,0.0000
97,43,0.0000
98,28,0.0000
99,28,0.0000
100,116,0.0000
101,47,0.0000
102,53,0.0000
103,45,0.0000
104,50,0.0000
105,65,0.0000
106,44,0.0000
107,28,0.0000
108,34,0.0000
109,46,0.0000
110,39,0.0000
111,99,0.0000
112,37,0.0000
113,72,0.0000
114,81,0.0000
115,56,0.0000
116,112,0.0000
117,48,0.0000
118,67,0.0000
119,116,0.0000
120,32,0.0000
121,59,0.0000
122,175,0.0000
123,52,0.0000
124,39,0.0000
125,80,0.0000
126,42,0.0000
127,47,0.0000
128,56,0.0000
129,110,0.0000
130,51,0.0000
131,110,0.0000
132,79,0.0000
133,45,0.0000
134,68,0.0000
135,63,0.0000
136,42,0.0000
137,60,0.0000
138,70,0.0000
139,23,0.0000
140,113,0.0000
141,42,0.0000
142,35,0.0000
143,40,0.0000
144,37,0.0000
145,44,0.0000
146,63,0.0000
147,29,0.0000
148,37,0.0000
149,111,0.0000
150,20,0.0000
151,67,0.0000
152,16,0.0000
153,59,0.0000
154,85,0.0000
155,91,0.0000
156,33,0.0000
157,103,0.0000
158,116,0.0000
159,49,0.0000
160,65,0.0000
161,67,0.0000
162,53,0.0000
163,60,0.0000
164,29,0.0000
165,40,0.0000
166,88,0.0000
167,74,0.0000
168,63,0.0000
169,76,0.0000
170,34,0.0000
171,99,0.0000
172,87,0.0000
173,34,0.0000
174,80,0.0000
175,103,0.0000
176,51,0.0000
177,53,0.0000
178,26,0.0000
179,68,0.0000
180,60,0.0000
181,67,0.0000
182,128,0.0000
183,123,0.0000
184,56,0.0000
185,92,0.0000
186,83,0.0000
187,101,0.0000
188,75,0.0000
189,41,0.0000
190,23,0.0000
191,67,0.0000
192,92,0.0000
193,117,0.0000
194,76,0.0000
195,152,0.0000
196,37,0.0000
197,58,0.0000
198,98,0.0000
199,97,0.0000
200,93,0.0000
201,83,0.0000
202,104,0.0000
203,35,0.0000
204,197,0.0000
205,224,0.0000
206,67,0.0000
207,132,0.0000
208,135,0.0000
209,93,0.0000
210,152,0.0000
211,155,0.0000
212,29,0.0000
213,22,0.0000
214,46,0.0000
215,100,0.0000
216,31,0.0000
217,115,0.0000
218,133,0.0000
219,385,0.0000
220,87,0.0000
221,173,0.0000
222,77,0.0000
223,278,0.0000
224,103,0.0000
225,227,0.0000
226,98,0.0000
227,69,0.0000
228,183,0.0000
229,54,0.0000
230,132,0.0000
231,71,0.0000
232,54,0.0000
233,120,0.0000
234,81,0.0000
235,117,0.0000
236,166,0.0000
237,55,0.0000
238,258,0.0000
239,295,0.0000
240,57,0.0000
241,48,0.0000
242,110,0.0000
243,188,0.0000
244,81,0.0000
245,159,0.0000
246,202,0.0000
247,190,0.0000
248,247,0.0000
249,99,0.0000
250,182,0.0000
251,35,0.0000
252,158,0.0000
253,193,0.0000
254,36,0.0000
255,168,0.0000
256,218,0.0000
257,72,0.0000
258,218,0.0000
259,162,0.0000
260,373,0.0000
261,135,0.0000
262,54,0.0000
263,316,0.0000
264,250,0.0000
265,264,0.0000
266,163,0.0000
267,89,0.0000
268,99,0.0000
269,137,0.0000
270,190,0.0000
271,252,0.0000
272,43,0.0000
273,39,0.0000
274,500,0.0000
275,179,0.0000
276,291,0.0000
277,217,0.0000
278,42,0.0000
279,163,0.0000
280,154,0.0000
281,190,0.0000
282,51,0.0000
283,216,0.0000
284,149,0.0000
285,117,0.0000
286,342,0.0000
287,500,0.0000
288,500,0.0000
289,155,0.0000
290,333,0.0000
291,287,0.0000
292,156,0.0000
293,259,0.0000
294,183,0.0000
295,123,0.0000
296,416,0.0000
297,154,0.0000
298,343,0.0000
299,160,0.0000
300,322,0.0000
301,174,0.0000
302,116,0.0000
303,136,0.0000
304,138,0.0000
305,300,0.0000
306,248,0.0000
307,263,0.0000
308,143,0.0000
309,402,0.0000
310,221,0.0000
311,296,0.0000
312,159,0.0000
313,217,0.0000
314,103,0.0000
315,194,0.0000
316,263,0.0000
317,188,0.0000
318,205,0.0000
319,73,0.0000
320,106,0.0000
321,166,0.0000
322,207,0.0000
323,376,0.0000
324,343,0.0000
325,139,0.0000
326,201,0.0000
327,327,0.0000
328,143,0.0000
329,323,0.0000
330,213,0.0000
331,74,0.0000
332,295,0.0000
333,85,0.0000
334,94,0.0000
335,353,0.0000
336,114,0.0000
337,156,0.0000
338,102,0.0000
