Episode,Score,Epsilon
1,20,0.0000
2,11,0.0000
3,34,0.0000
4,44,0.0000
5,21,0.0000
6,27,0.0000
7,17,0.0000
8,16,0.0000
9,14,0.0000
10,14,0.0000
11,32,0.0000
12,13,0.0000
13,31,0.0000
14,57,0.0000
15,14,0.0000
16,15,0.0000
17,62,0.0000
18,15,0.0000
19,17,0.0000
20,10,0.0000
21,31,0.0000
22,47,0.0000
23,16,0.0000
24,11,0.0000
25,25,0.0000
26,32,0.0000
27,11,0.0000
28,24,0.0000
29,20,0.0000
30,36,0.0000
31,34,0.0000
32,20,0.0000
33,17,0.0000
34,17,0.0000
35,78,0.0000
36,15,0.0000
37,16,0.0000
38,36,0.0000
39,11,0.0000
40,25,0.0000
41,24,0.0000
42,15,0.0000
43,19,0.0000
44,22,0.0000
45,13,0.0000
46,49,0.0000
47,20,0.0000
48,15,0.0000
49,21,0.0000
50,18,0.0000
51,28,0.0000
52,18,0.0000
53,15,0.0000
54,38,0.0000
55,12,0.0000
56,29,0.0000
57,18,0.0000
58,15,0.0000
59,51,0.0000
60,14,0.0000
61,61,0.0000
62,15,0.0000
63,35,0.0000
64,36,0.0000
65,50,0.0000
66,16,0.0000
67,19,0.0000
68,155,0.0000
69,15,0.0000
70,19,0.0000
71,17,0.0000
72,35,0.0000
73,17,0.0000
74,74,0.0000
75,32,0.0000
76,26,0.0000
77,28,0.0000
78,29,0.0000
79,20,0.0000
80,17,0.0000
81,31,0.0000
82,70,0.0000
83,19,0.0000
84,56,0.0000
85,65,0.0000
86,43,0.0000
87,43,0.0000
88,17,0.0000
89,16,0.0000
90,40,0.0000
91,17,0.0000
92,25,0.0000
93,25,0.0000
94,18,0.0000
95,64,0.0000
96,22,0.0000
97,16,0.0000
98,14,0.0000
99,14,0.0000
100,57,0.0000
101,84,0.0000
102,51,0.0000
103,17,0.0000
104,22,0.0000
105,26,0.0000
106,84,0.0000
107,16,0.0000
108,32,0.0000
109,29,0.0000
110,31,0.0000
111,63,0.0000
112,52,0.0000
113,54,0.0000
114,113,0.0000
115,21,0.0000
116,23,0.0000
117,41,0.0000
118,43,0.0000
119,81,0.0000
120,19,0.0000
121,21,0.0000
122,13,0.0000
123,26,0.0000
124,14,0.0000
125,28,0.0000
126,19,0.0000
127,52,0.0000
128,73,0.0000
129,56,0.0000
130,25,0.0000
131,36,0.0000
132,26,0.0000
133,55,0.0000
134,27,0.0000
135,18,0.0000
136,38,0.0000
137,37,0.0000
138,55,0.0000
139,20,0.0000
140,37,0.0000
141,21,0.0000
142,96,0.0000
143,31,0.0000
144,64,0.0000
145,84,0.0000
146,42,0.0000
147,50,0.0000
148,17,0.0000
149,42,0.0000
150,23,0.0000
151,69,0.0000
152,46,0.0000
153,81,0.0000
154,35,0.0000
155,27,0.0000
156,39,0.0000
157,47,0.0000
158,18,0.0000
159,44,0.0000
160,40,0.0000
161,37,0.0000
162,37,0.0000
163,18,0.0000
164,51,0.0000
165,57,0.0000
166,33,0.0000
167,27,0.0000
168,29,0.0000
169,74,0.0000
170,11,0.0000
171,77,0.0000
172,36,0.0000
173,68,0.0000
174,25,0.0000
175,69,0.0000
176,12,0.0000
177,109,0.0000
178,44,0.0000
179,28,0.0000
180,30,0.0000
181,17,0.0000
182,57,0.0000
183,36,0.0000
184,49,0.0000
185,39,0.0000
186,64,0.0000
187,70,0.0000
188,54,0.0000
189,29,0.0000
190,45,0.0000
191,105,0.0000
192,12,0.0000
193,26,0.0000
194,41,0.0000
195,19,0.0000
196,81,0.0000
197,48,0.0000
198,32,0.0000
199,27,0.0000
200,61,0.0000
201,113,0.0000
202,122,0.0000
203,56,0.0000
204,17,0.0000
205,53,0.0000
206,32,0.0000
207,78,0.0000
208,92,0.0000
209,82,0.0000
210,49,0.0000
211,16,0.0000
212,41,0.0000
213,74,0.0000
214,27,0.0000
215,21,0.0000
216,33,0.0000
217,79,0.0000
218,77,0.0000
219,55,0.0000
220,57,0.0000
221,24,0.0000
222,36,0.0000
223,50,0.0000
224,18,0.0000
225,96,0.0000
226,179,0.0000
227,42,0.0000
228,227,0.0000
229,52,0.0000
230,60,0.0000
231,97,0.0000
232,176,0.0000
233,22,0.0000
234,202,0.0000
235,121,0.0000
236,138,0.0000
237,244,0.0000
238,75,0.0000
239,145,0.0000
240,135,0.0000
241,103,0.0000
242,162,0.0000
243,105,0.0000
244,102,0.0000
245,45,0.0000
246,35,0.0000
247,39,0.0000
248,41,0.0000
249,157,0.0000
250,70,0.0000
251,18,0.0000
252,139,0.0000
253,159,0.0000
254,85,0.0000
255,140,0.0000
256,122,0.0000
257,91,0.0000
258,100,0.0000
259,298,0.0000
260,110,0.0000
261,28,0.0000
262,203,0.0000
263,120,0.0000
264,133,0.0000
265,64,0.0000
266,105,0.0000
267,204,0.0000
268,214,0.0000
269,52,0.0000
270,203,0.0000
271,89,0.0000
272,39,0.0000
273,99,0.0000
274,90,0.0000
275,60,0.0000
276,317,0.0000
277,249,0.0000
278,106,0.0000
279,58,0.0000
280,144,0.0000
281,121,0.0000
282,29,0.0000
283,117,0.0000
284,140,0.0000
285,262,0.0000
286,79,0.0000
287,249,0.0000
288,41,0.0000
289,283,0.0000
290,107,0.0000
291,124,0.0000
292,215,0.0000
293,181,0.0000
294,103,0.0000
295,179,0.0000
296,121,0.0000
297,113,0.0000
298,167,0.0000
299,500,0.0000
300,254,0.0000
301,189,0.0000
302,282,0.0000
303,162,0.0000
304,199,0.0000
305,200,0.0000
306,500,0.0000
307,342,0.0000
308,202,0.0000
309,211,0.0000
310,500,0.0000
311,325,0.0000
312,136,0.0000
313,500,0.0000
314,236,0.0000
315,22,0.0000
316,500,0.0000
317,218,0.0000
318,470,0.0000
319,70,0.0000
320,191,0.0000
321,209,0.0000
322,177,0.0000
323,392,0.0000
324,139,0.0000
325,193,0.0000
326,59,0.0000
327,165,0.0000
328,188,0.0000
329,337,0.0000
330,261,0.0000
331,37,0.0000
332,359,0.0000
333,500,0.0000
334,500,0.0000
335,251,0.0000
336,231,0.0000
337,156,0.0000
338,419,0.0000
